Call;QRG;Input;Locator;Info;Breite;Länge;CTCSS;Mode/Node;Entfernung zu JN49hf
DM0ZF2;439,9375;430,5375;JN48BP;Lauf-Schwarzwald YSF;48°38'N;08°07'E;;W-x#C4;74.35km
DM0ZF;144,825;144,82500;JN48BP;Lauf;48°38'N;08°07'E;;W-x#C4;74.39km
DM0ZF;144,825;144,82500;JN48BP;Lauf;48°38'N;08°07'E;;;74.39km
DB0WS;438,8625;431,2625;JN48RT;Weinstadt;48°47'N;09°25'E;;;75.14km
DB0BH;439,075;431,475;JN38XQ;Rheinau;48°42'N;07°58'E;94,8Hz;;75.27km
DB0OFI;439,9375;430,5375;JN48PR;Ostfildern;48°42'N;09°18'E;88,5Hz;;76.09km
DM0GG;438,8875;431,28750;JN49FV;Gross-Gerau;49°54'N;08°29'E;67,0Hz;;76.21km
DM0GG;1298,525;1270,52500;JN49FV;Gross-Gerau;49°54'N;08°29'E;;;76.21km
DB0GAZ;438,850;431,250;JN49FW;Gross-Gerau;49°54'N;08°28'E;;;76.75km
DB0MI;439,175;431,575;JN49PS;Miltenberg, Mönchberg;49°47'N;09°15'E;;;77.55km
DB0MOE;144,86250;144,86250;JN48AP;Achern;48°38'N;08°02'E;;W-x#C4;77.56km
DB0MOE;144,86250;144,86250;JN48AP;Achern;48°38'N;08°02'E;;;77.56km
DB0OVA;439,13750;431,53750;JN49MV;Schaafheim;49°53'N;09°01'E;88,5Hz;;78.62km
DB0TUE;438,88750;431,28750;JN48LN;Tübingen;48°33'N;08°58'E;;;79.03km
DB0SWR;438,725;431,125;JN49RQ;Wertheim/Main;49°41'N;09°28'E;179,9Hz;;79.46km
